"","X","ID","Task.Name","Trial.Number","dilemmaAll","Context","Dilemma","PBH_actual","PDE_actual","BA_actual","MC_actual","Intent_actual","MG_actual","Agent","RT","MJ","keys","Gender","Gender.quant","Age","Nationality","cultural.arab","cultural.asian","cultural.black","cultural.multiple","cultural.white","cultural.prefNo","cultural.another","primary_cultural","multiple_cultural","identified_variants","variants_string","oldDilemma","Dilemma_base","PBH","PDE","Intent","BA","MC","MG"
"11",11,14606101,"Main Stimuli F_YES (Latin Square) ",11,"disproportionate death","trolley","Disproportionate_Death_Trolley","Yes","No","no","no","yes","No","AI",831.200000047684,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","disproportionate death","Disproportionate_Death","Yes","Yes","No","Yes","Yes","No"
"12",12,14606101,"Main Stimuli F_YES (Latin Square) ",12,"collapse bridge","crane","Collapse_Bridge_Crane","Yes","Yes","yes","yes","yes","Yes","AI",1374.20000002385,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","collapse bridgeCrane","Collapse_Bridge","Yes","No","No","No","No","Yes"
"13",13,14606101,"Main Stimuli F_YES (Latin Square) ",13,"collapse bridge","trolley","Collapse_Bridge_Trolley","Yes","Yes","yes","yes","yes","Yes","AI",971.800000011921,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","collapse bridge","Collapse_Bridge","Yes","No","No","No","No","Yes"
"14",14,14606101,"Main Stimuli F_YES (Latin Square) ",14,"EfficientRisk","trolley","Efficient_Risk_Trolley","No","Yes","yes","yes","yes","Yes","Human",1077.50000004769,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","EfficientRisk","Efficient_Risk","No","No","No","No","No","Yes"
"15",15,14606101,"Main Stimuli F_YES (Latin Square) ",15,"ExpensiveRescue","trolley","Expensive_Rescue_Trolley","No","Yes","yes","yes","yes","Yes","AI",366.600000000006,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","ExpensiveRescue","Expensive_Rescue","No","No","No","No","No","Yes"
"16",16,14606101,"Main Stimuli F_YES (Latin Square) ",16,"BystanderPHA&O","crane","Bystander_PHA_PHO_Crane","Yes","No","yes","yes","no","No","AI",856.60000003576,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","BystanderPHA&OCrane","Bystander_PHA_PHO","Yes","Yes","Yes","No","No","No"
"17",17,14606101,"Main Stimuli F_YES (Latin Square) ",17,"implied consent","crane","Implied_Consent_Crane","Yes","Yes","yes","yes","yes","Yes","AI",331.500000023836,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","implied consentCrane","Implied_Consent","Yes","No","No","No","No","Yes"
"18",18,14606101,"Main Stimuli F_YES (Latin Square) ",18,"SubstitutedConsent","crane","Substituted_Consent_Crane","Yes","No","yes","yes","no","No","AI",1141.70000004768,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","SubstitutedConsentCrane","Substituted_Consent","Yes","Yes","Yes","No","No","Yes"
"19",19,14606101,"Main Stimuli F_YES (Latin Square) ",19,"drop man","Crane","Drop_Man_Crane","Yes","No","yes","yes","no","No","AI",1069.2,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","DropManCraneHang","Drop_Man","Yes","Yes","Yes","No","No","No"
"20",20,14606101,"Main Stimuli F_YES (Latin Square) ",20,"OmissionFootbridgePHO","Crane","Omission_Footbridge_PHO_Crane","No","No","yes","no","yes","Yes","Human",2434.10000000001,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","OmissionFootbridgePHOCrane","Omission_Footbridge_PHO","Yes","Yes","Yes","No","No","No"
"21",21,14606101,"Main Stimuli F_YES (Latin Square) ",21,"BystanderPHA&O","trolley","Bystander_PHA_PHO_Trolley","Yes","No","yes","yes","no","No","AI",700.100000000006,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","BystanderPHA&O","Bystander_PHA_PHO","Yes","Yes","Yes","No","No","No"
"22",22,14606101,"Main Stimuli F_YES (Latin Square) ",22,"intentional homicide","trolley","Intentional_Homicide_Trolley","Yes","No","yes","yes","no","No","Human",3563.40000001193,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","intentional homicide","Intentional_Homicide","Yes","Yes","Yes","No","No","No"
"23",23,14606101,"Main Stimuli F_YES (Latin Square) ",23,"ExpensiveRescue","crane","Expensive_Rescue_Crane","No","Yes","yes","yes","yes","Yes","AI",703.800000023853,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","ExpensiveRescueCrane","Expensive_Rescue","No","No","No","No","No","Yes"
"24",24,14606101,"Main Stimuli F_YES (Latin Square) ",24,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_","trolley","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost_Trolley","No","No","no","no","no","Yes","Human",1037.20000000001,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Trolley","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost","No","Yes","Yes","Yes","Yes","Yes"
"25",25,14606101,"Main Stimuli F_YES (Latin Square) ",25,"OmissionFootbridgePHO","trolley","Omission_Footbridge_PHO_Trolley","No","No","yes","no","yes","Yes","Human",1231.30000003576,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","OmissionFootbridgePHOTrolley","Omission_Footbridge_PHO","Yes","Yes","Yes","No","No","No"
"26",26,14606101,"Main Stimuli F_YES (Latin Square) ",26,"FootbridgePHA","trolley","Footbridge_PHA_Trolley","Yes","No","yes","yes","no","No","Human",535.500000011933,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","FootbridgePHA","Footbridge_PHA","Yes","Yes","Yes","No","No","No"
"27",27,14606101,"Main Stimuli F_YES (Latin Square) ",27,"footbridge","trolley","Footbridge_Trolley","Yes","No","yes","yes","no","No","AI",967.900000011927,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","footbridge","Footbridge","Yes","Yes","Yes","No","No","No"
"28",28,14606101,"Main Stimuli F_YES (Latin Square) ",28,"better alternative","crane","Better_Alternative_Crane","Yes","No","no","yes","yes","No","Human",736.100000035774,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","better alternativeCrane","Better_Alternative","Yes","Yes","No","Yes","No","No"
"29",29,14606101,"Main Stimuli F_YES (Latin Square) ",29,"man-in-front","trolley","Man_in_Front_Trolley","Yes","Yes","yes","yes","yes","Yes","Human",1039.90000002383,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","man-in-front","Man_in_Front","Yes","No","No","No","No","Yes"
"30",30,14606101,"Main Stimuli F_YES (Latin Square) ",30,"OmissionBystanderPHO","trolley","Omission_Bystander_PHO_Trolley","No","No","yes","no","yes","Yes","AI",926.300000011921,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","OmissionBystanderPHOTrolley","Omission_Bystander_PHO","Yes","Yes","Yes","Yes","Yes","No"
"31",31,14606101,"Main Stimuli F_YES (Latin Square) ",31,"Footbridge_Equipment_Save_","trolley","Footbridge_Equipment_Save_Trolley","Yes","No","yes","no","yes","No","AI",374.100000023842,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","Footbridge_Equipment_Save_Trolley","Footbridge_Equipment_Save","No","Yes","Yes","No","Yes","Yes"
"32",32,14606101,"Main Stimuli F_YES (Latin Square) ",32,"loop","crane","Loop_Track_Crane","Yes","No","yes","yes","no","No","AI",1935.00000001193,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","loopCrane","Loop_Track","Yes","Yes","Yes","No","No","No"
"33",33,14606101,"Main Stimuli F_YES (Latin Square) ",33,"better alternative","trolley","Better_Alternative_Trolley","Yes","No","no","yes","yes","No","Human",270.300000023853,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","better alternative","Better_Alternative","Yes","Yes","No","Yes","No","No"
"34",34,14606101,"Main Stimuli F_YES (Latin Square) ",34,"Footbridge_Equipment_Save_","crane","Footbridge_Equipment_Save_Crane","Yes","No","yes","no","yes","No","AI",337.299999999988,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","Footbridge_Equipment_Save_Crane","Footbridge_Equipment_Save","No","Yes","Yes","No","Yes","Yes"
"35",35,14606101,"Main Stimuli F_YES (Latin Square) ",35,"ExpensiveCollapse","crane","Expensive_Collapse_Crane","No","Yes","yes","yes","yes","Yes","AI",4863.80000003576,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","ExpensiveCollapseCrane","Expensive_Collapse","No","Yes","Yes","No","No","Yes"
"36",36,14606101,"Main Stimuli F_YES (Latin Square) ",36,"EfficientRisk","crane","Efficient_Risk_Crane","No","Yes","yes","yes","yes","Yes","Human",1165.10000004768,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","EfficientRiskCrane","Efficient_Risk","No","No","No","No","No","Yes"
"37",37,14606101,"Main Stimuli F_YES (Latin Square) ",37,"FootbridgePHA&O","trolley","Footbridge_PHA_PHO_Trolley","Yes","No","yes","yes","no","No","Human",899.899999999994,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","FootbridgePHA&O","Footbridge_PHA_PHO","Yes","Yes","Yes","No","No","No"
"38",38,14606101,"Main Stimuli F_YES (Latin Square) ",38,"implied consent","trolley","Implied_Consent_Trolley","Yes","Yes","yes","yes","yes","Yes","AI",825.900000047695,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","implied consent","Implied_Consent","Yes","No","No","No","No","Yes"
"39",39,14606101,"Main Stimuli F_YES (Latin Square) ",39,"HypotheticalConsent","crane","Hypothetical_Consent_Crane","No","No","yes","yes","no","Yes","Human",844.30000004769,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","HypotheticalConsentCrane","Hypothetical_Consent","Yes","Yes","Yes","No","No","Yes"
"40",40,14606101,"Main Stimuli F_YES (Latin Square) ",40,"BetterAlternative_DisproportionateCost_","trolley","Better_Alternative_Disproportionate_Cost_Trolley","Yes","No","no","no","yes","No","Human",651.900000047695,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","BetterAlternative_DisproportionateCost_Trolley","Better_Alternative_Disproportionate_Cost","Yes","Yes","No","Yes","Yes","No"
"41",41,14606101,"Main Stimuli F_YES (Latin Square) ",41,"BetterAlternative_DisproportionateCost_","crane","Better_Alternative_Disproportionate_Cost_Crane","Yes","No","no","no","yes","No","Human",284.40000002383,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","BetterAlternative_DisproportionateCost_Crane","Better_Alternative_Disproportionate_Cost","Yes","Yes","No","Yes","Yes","No"
"42",42,14606101,"Main Stimuli F_YES (Latin Square) ",42,"footbridge","crane","Footbridge_Crane","Yes","No","yes","yes","no","No","AI",360.700000035751,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","footbridgeCrane","Footbridge","Yes","Yes","Yes","No","No","No"
"43",43,14606101,"Main Stimuli F_YES (Latin Square) ",43,"intentional homicide","crane","Intentional_Homicide_Crane","Yes","No","yes","yes","no","No","Human",887.299999999988,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","intentional homicideCrane","Intentional_Homicide","Yes","Yes","Yes","No","No","No"
"44",44,14606101,"Main Stimuli F_YES (Latin Square) ",44,"OmissionBystanderPHO","Crane","Omission_Bystander_PHO_Crane","No","No","yes","no","yes","Yes","AI",1468.70000001192,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","OmissionBystanderPHOCrane","Omission_Bystander_PHO","Yes","Yes","Yes","Yes","Yes","No"
"45",45,14606101,"Main Stimuli F_YES (Latin Square) ",45,"SubstitutedConsent2","crane","Substituted_Consent_Crane","Yes","No","yes","yes","no","No","AI",2252.50000004767,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","SubstitutedConsentCrane","Substituted_Consent","Yes","Yes","Yes","No","No","Yes"
"46",46,14606101,"Main Stimuli F_YES (Latin Square) ",46,"DropEquipment","crane","Drop_Equipment_Crane","No","No","yes","yes","no","Yes","Human",978.800000023854,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","DropEquipmentCrane","Drop_Equipment","No","No","No","No","No","Yes"
"47",47,14606101,"Main Stimuli F_YES (Latin Square) ",47,"expensive equipment","crane","Expensive_Equipment_Crane","Yes","No","no","no","yes","No","Human",344.400000035763,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","expensive equipmentCrane","Expensive_Equipment","Yes","Yes","No","No","Yes","No"
"48",48,14606101,"Main Stimuli F_YES (Latin Square) ",48,"expensive equipment","trolley","Expensive_Equipment_Trolley","Yes","No","no","no","yes","No","Human",668.099999999977,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","expensive equipment","Expensive_Equipment","Yes","Yes","No","No","Yes","No"
"49",49,14606101,"Main Stimuli F_YES (Latin Square) ",49,"DropEquipment","Crane","Drop_Equipment_Crane","No","No","yes","yes","yes","Yes","Human",313.799999999988,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","DropEquipmentCraneHang","Drop_Equipment","No","No","No","No","No","Yes"
"50",50,14606101,"Main Stimuli F_YES (Latin Square) ",50,"bystander","trolley","Bystander_Trolley","Yes","Yes","yes","yes","yes","Yes","Human",470.000000047672,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","bystander","Bystander","Yes","No","No","No","No","Yes"
"51",51,14606101,"Main Stimuli F_YES (Latin Square) ",51,"FootbridgePHO","crane","Footbridge_PHO_Crane","Yes","No","yes","yes","yes","No","AI",1175.30000002385,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","FootbridgePHOCrane","Footbridge_PHO","Yes","Yes","Yes","No","No","No"
"52",52,14606101,"Main Stimuli F_YES (Latin Square) ",52,"drop man","crane","Drop_Man_Crane","Yes","No","yes","yes","no","No","Human",633.400000000023,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","drop manCrane","Drop_Man","Yes","Yes","Yes","No","No","No"
"53",53,14606101,"Main Stimuli F_YES (Latin Square) ",53,"Unprohibted_BetterAlternative_","crane","Unprohibited_Better_Alternative_Crane","No","No","no","yes","yes","Yes","AI",672.200000047684,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","Unprohibted_BetterAlternative_Crane","Unprohibited_Better_Alternative","No","Yes","No","Yes","No","Yes"
"54",54,14606101,"Main Stimuli F_YES (Latin Square) ",54,"Unprohibted_BetterAlternative_","trolley","Unprohibited_Better_Alternative_Trolley","No","No","no","yes","yes","Yes","AI",371.5,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","Unprohibted_BetterAlternative_Trolley","Unprohibited_Better_Alternative","No","Yes","No","Yes","No","Yes"
"55",55,14606101,"Main Stimuli F_YES (Latin Square) ",55,"Unprohibted_BetterAlternative_DisproportionateCost_","trolley","Unprohibited_Better_Alternative_Disproportionate_Cost_Trolley","No","No","no","no","yes","Yes","AI",342.400000047695,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","Unprohibted_BetterAlternative_DisproportionateCost_Trolley","Unprohibited_Better_Alternative_Disproportionate_Cost","No","Yes","No","Yes","Yes","Yes"
"56",56,14606101,"Main Stimuli F_YES (Latin Square) ",56,"InexpensiveRescue","trolley","Inexpensive_Rescue_Trolley","No","Yes","yes","yes","yes","Yes","Human",793.099999999977,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","InexpensiveRescue","Inexpensive_Rescue","No","No","No","No","No","Yes"
"57",57,14606101,"Main Stimuli F_YES (Latin Square) ",57,"InefficientRisk","trolley","Inefficient_Risk_Trolley","No","No","yes","no","yes","Yes","AI",2356.50000003574,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","InefficientRisk","Inefficient_Risk","No","Yes","No","Yes","Yes","Yes"
"58",58,14606101,"Main Stimuli F_YES (Latin Square) ",58,"SuicidalRescue","crane","Suicidal_Rescue_Crane","Yes","Yes","yes","yes","yes","Yes","AI",873.900000000023,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","SuicidalRescueCrane","Suicidal_Rescue","Yes","No","No","No","No","Yes"
"59",59,14606101,"Main Stimuli F_YES (Latin Square) ",59,"DropEquipment","trolley","Drop_Equipment_Trolley","No","No","yes","yes","no","Yes","Human",784.600000011909,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","DropEquipment","Drop_Equipment","No","No","No","No","No","Yes"
"60",60,14606101,"Main Stimuli F_YES (Latin Square) ",60,"drop man","trolley","Drop_Man_Trolley","Yes","No","yes","yes","no","No","Human",1055.60000003577,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","drop man","Drop_Man","Yes","Yes","Yes","No","No","No"
"61",61,14606101,"Main Stimuli F_YES (Latin Square) ",61,"costless rescue","trolley","Costless_Rescue_Trolley","No","Yes","yes","yes","yes","Yes","AI",516.900000000023,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","costless rescue","Costless_Rescue","No","No","No","No","No","Yes"
"62",62,14606101,"Main Stimuli F_YES (Latin Square) ",62,"BystanderPHO","trolley","Bystander_PHO_Trolley","Yes","Yes","yes","yes","yes","Yes","Human",901.599999999977,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","BystanderPHO","Bystander_PHO","Yes","No","No","No","No","Yes"
"63",63,14606101,"Main Stimuli F_YES (Latin Square) ",63,"bystander","crane","Bystander_Crane","Yes","Yes","yes","yes","yes","Yes","Human",457.80000004766,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","bystanderCrane","Bystander","Yes","No","No","No","No","Yes"
"64",64,14606101,"Main Stimuli F_YES (Latin Square) ",64,"FootbridgePHA&O","crane","Footbridge_PHA_PHO_Crane","Yes","No","yes","yes","no","No","Human",940.599999999977,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","FootbridgePHA&OCrane","Footbridge_PHA_PHO","Yes","Yes","Yes","No","No","No"
"65",65,14606101,"Main Stimuli F_YES (Latin Square) ",65,"InefficientRisk","crane","Inefficient_Risk_Crane","No","No","yes","no","yes","Yes","AI",518.800000023853,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","InefficientRiskCrane","Inefficient_Risk","No","Yes","No","Yes","Yes","Yes"
"66",66,14606101,"Main Stimuli F_YES (Latin Square) ",66,"BystanderPHO","crane","Bystander_PHO_Crane","Yes","Yes","yes","yes","yes","Yes","Human",1038.80000002385,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","BystanderPHOCrane","Bystander_PHO","Yes","No","No","No","No","Yes"
"67",67,14606101,"Main Stimuli F_YES (Latin Square) ",67,"disproportionate death","crane","Disproportionate_Death_Crane","Yes","No","no","no","yes","No","AI",285.400000035763,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","disproportionate deathCrane","Disproportionate_Death","Yes","Yes","No","Yes","Yes","No"
"68",68,14606101,"Main Stimuli F_YES (Latin Square) ",68,"HypotheticalConsent","trolley","Hypothetical_Consent_Trolley","No","No","yes","yes","no","Yes","Human",1086.40000000002,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","HypotheticalConsent","Hypothetical_Consent","Yes","Yes","Yes","No","No","Yes"
"69",69,14606101,"Main Stimuli F_YES (Latin Square) ",69,"SubstitutedConsent2","trolley","Substituted_Consent_Trolley","Yes","No","yes","yes","no","No","AI",4619.50000003574,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","SubstitutedConsent","Substituted_Consent","Yes","Yes","Yes","No","No","Yes"
"70",70,14606101,"Main Stimuli F_YES (Latin Square) ",70,"Unprohibted_BetterAlternative_Equipment_Intended_","crane","Unprohibited_Better_Alternative_Equipment_Intended_Crane","No","No","no","yes","no","Yes","Human",800.000000000058,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","Unprohibted_BetterAlternative_Equipment_Intended_Crane","Unprohibited_Better_Alternative_Equipment_Intended","No","Yes","Yes","Yes","No","Yes"
"71",71,14606101,"Main Stimuli F_YES (Latin Square) ",71,"FootbridgePHO","trolley","Footbridge_PHO_Trolley","Yes","No","yes","yes","yes","No","AI",696.200000035751,"0","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","FootbridgePHO","Footbridge_PHO","Yes","Yes","Yes","No","No","No"
"72",72,14606101,"Main Stimuli F_YES (Latin Square) ",72,"loop","trolley","Loop_Track_Trolley","Yes","No","yes","yes","no","No","AI",1210.20000002382,"1","F_YES","Woman",1,28,"Netherlands","","","","","Dutch","","","White",FALSE,"Dutch","Dutch","loop","Loop_Track","Yes","Yes","Yes","No","No","No"
"73",73,14606117,"Main Stimuli F_YES (Latin Square) ",1,"implied consent","crane","Implied_Consent_Crane","Yes","Yes","yes","yes","yes","Yes","AI",1211.50000000019,"0","F_YES","Woman",1,25,"France","Arab or Arab British","","","","","","","Arab",FALSE,"Arab or Arab British","Arab or Arab British","implied consentCrane","Implied_Consent","Yes","No","No","No","No","Yes"
