"","X","ID","TVideo_1","Task.Name","Trial.Number","dilemmaAll","Context","Dilemma","RT","MJ","keys","PBH_actual","PDE_actual","Agent","BA_actual","MC_actual","Intent_actual","MG_actual","Gender","Gender.quant","Age","Nationality","Country_of_residence","cultural.arab","cultural.asian","cultural.black","cultural.multiple","cultural.white","cultural.prefNo","cultural.another","primary_cultural","multiple_cultural","identified_prefs","prefs_string","oldDilemma","Dilemma_base","PBH","PDE","Intent","BA","MC","MG"
"11",11,15127829,"Footbridge_PHA&O_Crane_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",11,"FootbridgePHA&O","crane","Footbridge_PHA_PHO_Crane",1966.69999999998,"1","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","FootbridgePHA&OCrane","Footbridge_PHA_PHO","Yes","Yes","Yes","No","No","No"
"12",12,15127829,"DropMan_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",12,"drop man","trolley","Drop_Man_Trolley",1684.2,"0","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","drop man","Drop_Man","Yes","Yes","Yes","No","No","No"
"13",13,15127829,"Bystander_Crane_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",13,"bystander","crane","Bystander_Crane",500.100000000006,"0","J_YES","Yes","Yes","Human","Yes","Yes","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","bystanderCrane","Bystander","Yes","No","No","No","No","Yes"
"14",14,15127829,"InefficientRisk_Crane_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",14,"InefficientRisk","crane","Inefficient_Risk_Crane",1967.10000000003,"1","J_YES","No","No","Human","Yes","No","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","InefficientRiskCrane","Inefficient_Risk","No","Yes","No","Yes","Yes","Yes"
"15",15,15127829,"IntentionalHomicide_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",15,"intentional homicide","truck","Intentional_Homicide_Truck",2033.90000000002,"1","J_YES","No","Yes","Human","No","Yes","Yes","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","intentional homicideTruck","Intentional_Homicide","Yes","Yes","Yes","No","No","No"
"16",16,15127829,"IntentionalHomicide_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",16,"intentional homicide","trolley","Intentional_Homicide_Trolley",2050.39999999999,"1","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","intentional homicide","Intentional_Homicide","Yes","Yes","Yes","No","No","No"
"17",17,15127829,"DisproportionalDeath_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",17,"disproportionate death","trolley","Disproportionate_Death_Trolley",783.400000000023,"0","J_YES","Yes","No","Ai","No","No","Yes","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","disproportionate death","Disproportionate_Death","Yes","Yes","No","Yes","Yes","No"
"18",18,15127829,"ExpensiveRescue_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",18,"ExpensiveRescue","truck","Expensive_Rescue_Truck",1717.19999999998,"1","J_YES","Yes","Yes","Human","Yes","No","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","ExpensiveRescueTruck","Expensive_Rescue","No","No","No","No","No","Yes"
"19",19,15127829,"ExpensiveEquipment_Mine_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",19,"expensive equipment","mine","Expensive_Equipment_Mine",650.000000000029,"0","J_YES","Yes","No","Ai","No","Yes","No","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","expensive equipmentMine","Expensive_Equipment","Yes","Yes","No","No","Yes","No"
"20",20,15127829,"Unprohibted_BetterAlternative_Equipment_Intended_Crane_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",20,"Unprohibted_BetterAlternative_Equipment_Intended_","crane","Unprohibited_Better_Alternative_Equipment_Intended_Crane",466.700000000012,"1","J_YES","No","No","Human","No","Yes","No","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Unprohibted_BetterAlternative_Equipment_Intended_Crane","Unprohibited_Better_Alternative_Equipment_Intended","No","Yes","Yes","Yes","No","Yes"
"21",21,15127829,"IntentionalHomicide_Crane_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",21,"intentional homicide","crane","Intentional_Homicide_Crane",666.399999999994,"1","J_YES","Yes","No","Human","Yes","Yes","No","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","intentional homicideCrane","Intentional_Homicide","Yes","Yes","Yes","No","No","No"
"22",22,15127829,"Bystander_PHA&O_Mine_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",22,"BystanderPHA&O","mine","Bystander_PHA_PHO_Mine",1966.5,"1","J_YES","No","Yes","Ai","No","Yes","Yes","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","BystanderPHA&OMine","Bystander_PHA_PHO","Yes","Yes","Yes","No","No","No"
"23",23,15127829,"InefficientRisk_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",23,"InefficientRisk","trolley","Inefficient_Risk_Trolley",666.599999999977,"1","J_YES","No","No","Ai","Yes","No","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","InefficientRisk","Inefficient_Risk","No","Yes","No","Yes","Yes","Yes"
"24",24,15127829,"BetterAlternative_DisproportionateCost_Mine_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",24,"BetterAlternative_DisproportionateCost_","mine","Better_Alternative_Disproportionate_Cost_Mine",1433.39999999997,"1","J_YES","Yes","No","Human","No","Yes","No","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","BetterAlternative_DisproportionateCost_Mine","Better_Alternative_Disproportionate_Cost","Yes","Yes","No","Yes","Yes","No"
"25",25,15127829,"Implied_Consent_Crane_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",25,"implied consent","crane","Implied_Consent_Crane",300.700000000012,"0","J_YES","Yes","Yes","Human","Yes","Yes","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","implied consentCrane","Implied_Consent","Yes","No","No","No","No","Yes"
"26",26,15127829,"Footbridge_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",26,"footbridge","trolley","Footbridge_Trolley",1050.20000000004,"0","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","footbridge","Footbridge","Yes","Yes","Yes","No","No","No"
"27",27,15127829,"ImpliedConsent_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",27,"implied consent","trolley","Implied_Consent_Trolley",1949.39999999999,"1","J_YES","Yes","Yes","Ai","Yes","Yes","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","implied consent","Implied_Consent","Yes","No","No","No","No","Yes"
"28",28,15127829,"DisproportionalDeath_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",28,"disproportionate death","truck","Disproportionate_Death_Truck",1584.19999999998,"0","J_YES","Yes","No","Human","No","Yes","No","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","disproportionate deathTruck","Disproportionate_Death","Yes","Yes","No","Yes","Yes","No"
"29",29,15127829,"EfficientRisk_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",29,"EfficientRisk","trolley","Efficient_Risk_Trolley",1584.19999999998,"1","J_YES","No","Yes","Ai","Yes","Yes","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","EfficientRisk","Efficient_Risk","No","No","No","No","No","Yes"
"30",30,15127829,"DropMan_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",30,"drop man","truck","Drop_Man_Truck",32.8000000000466,"0","J_YES","No","Yes","Human","No","Yes","Yes","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","drop manTruck","Drop_Man","Yes","Yes","Yes","No","No","No"
"31",31,15127829,"Bystander_PHA&O_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",31,"BystanderPHA&O","trolley","Bystander_PHA_PHO_Trolley",16.7999999999884,"0","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","BystanderPHA&O","Bystander_PHA_PHO","Yes","Yes","Yes","No","No","No"
"32",32,15127829,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",32,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_","truck","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost_Truck",350.700000000012,"0","J_YES","No","No","Human","No","No","No","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Truck","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost","No","Yes","Yes","Yes","Yes","Yes"
"33",33,15127829,"BetterAlternative_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",33,"better alternative","trolley","Better_Alternative_Trolley",883.70000000007,"1","J_YES","Yes","No","Ai","No","Yes","Yes","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","better alternative","Better_Alternative","Yes","Yes","No","Yes","No","No"
"34",34,15127829,"SubstitutedConsent_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",34,"SubstitutedConsent","trolley","Substituted_Consent_Trolley",2466.90000000002,"1","J_YES","Yes","No","Ai","Yes","Yes","No","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","SubstitutedConsent","Substituted_Consent","Yes","Yes","Yes","No","No","Yes"
"35",35,15127829,"DropEquipment_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",35,"DropEquipment","trolley","Drop_Equipment_Trolley",1783.09999999998,"1","J_YES","No","No","Ai","Yes","Yes","No","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","DropEquipment","Drop_Equipment","No","No","No","No","No","Yes"
"36",36,15127829,"ExpensiveCollapse_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",36,"ExpensiveCollapse","truck","Expensive_Collapse_Truck",4033.40000000002,"1","J_YES","Yes","Yes","Human","Yes","No","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","ExpensiveCollapseTruck","Expensive_Collapse","No","Yes","Yes","No","No","Yes"
"37",37,15127829,"Footbridge_PHO_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",37,"FootbridgePHO","trolley","Footbridge_PHO_Trolley",1950.29999999993,"0","J_YES","Yes","No","Ai","Yes","Yes","Yes","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","FootbridgePHO","Footbridge_PHO","Yes","Yes","Yes","No","No","No"
"38",38,15127829,"SuicidalRescue_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",38,"SuicidalRescue","trolley","Suicidal_Rescue_Trolley",1533.29999999999,"1","J_YES","Yes","Yes","Ai","Yes","Yes","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","SuicidalRescue","Suicidal_Rescue","Yes","No","No","No","No","Yes"
"39",39,15127829,"Omission_Footbridge_PHO_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",39,"OmissionFootbridgePHO","trolley","Omission_Footbridge_PHO_Trolley",1616.70000000007,"0","J_YES","No","No","Ai","Yes","No","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","OmissionFootbridgePHOTrolley","Omission_Footbridge_PHO","Yes","Yes","Yes","No","No","No"
"40",40,15127829,"Footbridge_Equipment_Save_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",40,"Footbridge_Equipment_Save_","truck","Footbridge_Equipment_Save_Truck",3400.20000000001,"1","J_YES","Yes","No","Human","No","Yes","Yes","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Footbridge_Equipment_Save_Truck","Footbridge_Equipment_Save","No","Yes","Yes","No","Yes","Yes"
"41",41,15127829,"InefficientRisk_Mine_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",41,"InefficientRisk","mine","Inefficient_Risk_Mine",2283.29999999999,"1","J_YES","Yes","No","Ai","No","No","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","InefficientRiskMine","Inefficient_Risk","No","Yes","No","Yes","Yes","Yes"
"42",42,15127829,"Footbridge_PHA&O_Trolley_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",42,"FootbridgePHA&O","trolley","Footbridge_PHA_PHO_Trolley",2350.59999999998,"1","J_YES","Yes","No","Human","Yes","Yes","No","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","FootbridgePHA&O","Footbridge_PHA_PHO","Yes","Yes","Yes","No","No","No"
"43",43,15127829,"HypotheticalConsent_Crane_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",43,"HypotheticalConsent","crane","Hypothetical_Consent_Crane",1583.79999999999,"1","J_YES","No","No","Human","Yes","Yes","No","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","HypotheticalConsentCrane","Hypothetical_Consent","Yes","Yes","Yes","No","No","Yes"
"44",44,15127829,"Unprohibted_BetterAlternative_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",44,"Unprohibted_BetterAlternative_","trolley","Unprohibited_Better_Alternative_Trolley",2233.39999999997,"1","J_YES","No","No","Ai","No","Yes","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Unprohibted_BetterAlternative_Trolley","Unprohibited_Better_Alternative","No","Yes","No","Yes","No","Yes"
"45",45,15127829,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",45,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_","trolley","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost_Trolley",650.100000000035,"0","J_YES","No","No","Ai","No","No","No","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Trolley","Unprohibited_Better_Alternative_Equipment_Intended_Disproportionate_Cost","No","Yes","Yes","Yes","Yes","Yes"
"46",46,15127829,"CostlessRescue_Crane_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",46,"costless rescue","crane","Costless_Rescue_Crane",2416.90000000002,"1","J_YES","No","Yes","Human","Yes","Yes","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","costless rescueCrane","Costless_Rescue","No","No","No","No","No","Yes"
"47",47,15127829,"ExpensiveCollapse_Trolley_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",47,"ExpensiveCollapse","trolley","Expensive_Collapse_Trolley",817.200000000012,"1","J_YES","No","Yes","Ai","Yes","Yes","Yes","Yes","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","ExpensiveCollapse","Expensive_Collapse","No","Yes","Yes","No","No","Yes"
"48",48,15127829,"IntentionalHomicide_Mine_AI.mp4","Main Stimuli J_YES (Simplified Latin Square)",48,"intentional homicide","mine","Intentional_Homicide_Mine",983.70000000007,"1","J_YES","No","Yes","Ai","No","Yes","Yes","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","intentional homicideMine","Intentional_Homicide","Yes","Yes","Yes","No","No","No"
"49",49,15127829,"SubstitutedConsent_Truck_newtimings.mp4","Main Stimuli J_YES (Simplified Latin Square)",49,"SubstitutedConsent","truck","Substituted_Consent_Truck",767.199999999953,"1","J_YES","No","Yes","Human","No","Yes","Yes","No","Woman",1,49,"United States","United States",NA,NA,NA,NA,"British or English or Scottish or Welsh or Northern Irish",NA,NA,"White",FALSE,"British or English or Scottish or Welsh or Northern Irish","British or English or Scottish or Welsh or Northern Irish","SubstitutedConsentTruck","Substituted_Consent","Yes","Yes","Yes","No","No","Yes"
